Loading files...
200 spam files
200 ham files

50% used for training and 50% used for testing

Splitting data...
200 spam files
200 ham files

Spam: 100 training files and 100 test files
Ham:  100 training files and 100 test files

Making Suffix Tree...

Testing Data...
testing spam 100

testing ham 100

Done!!!


Stats:
TH       SS       SH       HS       HH       Accuracy TPR      FPR      TNR      FNR
0.01     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.02     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.03     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.04     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.05     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.06     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.07     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.08     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.09     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.10     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.11     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.12     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.13     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.14     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.15     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.16     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.17     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.18     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.19     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.20     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.21     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.22     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.23     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.24     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.25     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.26     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.27     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.28     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.29     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
0.30     0        100      0        100      0.500    0.000    0.000    1.000    1.000    
